variable,No Change (Baseline),Non-meat marketing campaign (Scenario 1),Increase in meat pricing (Scenario 2),Increase in non-meat options (Scenario 3),Combined non-meat push (Scenario 4)
Red Meat,8.0%,7.7%,7.8%,7.2%,7.0%
Red Meat_Low,8.0%,7.6%,7.7%,7.2%,7.0%
Red Meat_High,8.0%,7.7%,7.8%,7.3%,7.0%
Poultry,9.0%,8.6%,8.7%,8.2%,7.9%
Poultry_Low,9.0%,8.6%,8.7%,8.2%,7.9%
Poultry_High,9.0%,8.7%,8.7%,8.2%,7.9%
Fish,3.1%,3.5%,3.1%,2.8%,3.2%
Fish_Low,3.1%,3.5%,3.1%,2.8%,3.2%
Fish_High,3.1%,3.5%,3.2%,2.9%,3.2%
Vegetables,30.4%,30.1%,30.6%,32.3%,32.0%
Vegetables_Low,30.4%,30.1%,30.6%,32.3%,31.9%
Vegetables_High,30.4%,30.1%,30.7%,32.3%,32.0%
"Legumes, Beans, & Nuts",4.2%,5.0%,4.3%,4.3%,5.0%
"Legumes, Beans, & Nuts_Low",4.2%,5.0%,4.2%,4.3%,5.0%
"Legumes, Beans, & Nuts_High",4.2%,5.0%,4.3%,4.3%,5.0%
Eggs & Cheese,5.6%,6.3%,5.7%,7.2%,7.7%
Eggs & Cheese_Low,5.6%,6.3%,5.6%,7.1%,7.7%
Eggs & Cheese_High,5.7%,6.3%,5.7%,7.2%,7.7%
Grains,39.6%,38.8%,39.8%,37.9%,37.3%
Grains_Low,39.6%,38.8%,39.8%,37.9%,37.3%
Grains_High,39.6%,38.8%,39.8%,37.9%,37.3%
,,,,,
Meat,17.0%,16.3%,16.5%,15.5%,14.9%
Meat_Low,17.0%,16.3%,16.4%,15.4%,14.9%
Meat_High,17.1%,16.4%,16.5%,15.5%,15.0%
,,,,,
nonmeat,79.8%,,,,
,79.8%,,,,
,79.9%,,,,
