Zip,$25k - $55k,$55k - $75k,Less than $25k,More than $75k,Mexican American,Non-Hispanic Asian,Non-Hispanic Black,Non-Hispanic White,Other Hispanic,Other Race - Including Multi-Racial,Not In Poverty,Poverty
21201,4266,2347,4901,5622,107,1367,8547,5788,579,748,12184,4952
21202,4728,3425,5105,7752,213,961,12181,6377,670,608,15211,5799
21205,4126,2551,5204,2697,336,227,9169,2511,1933,402,9359,5219
21206,11344,9227,7167,23822,651,778,36795,10919,1281,1136,45218,6342
21209,2859,3837,2436,18884,343,2011,4975,19356,767,564,25662,2354
21210,898,1429,578,12306,132,1645,1371,10561,583,919,13920,1291
21211,2656,2737,1598,9305,93,889,1612,12799,498,405,14750,1546
21212,4235,5268,2501,21338,242,1461,13411,16462,1089,677,29473,3869
21213,8719,5706,9287,7989,31,79,28051,2312,492,736,21969,9732
21214,3728,4257,1438,11755,100,162,11821,7933,496,666,19125,2053
21215,13735,10870,14378,19463,243,294,46939,9044,1154,772,44010,14436
21216,9518,5372,7351,9173,88,80,29814,498,211,723,23370,8044
21217,6862,6343,11588,9691,63,407,29371,3426,503,714,22104,12380
21218,10838,6849,9754,21827,374,2557,29792,12858,1814,1873,37149,12119
21223,5583,4617,8789,4569,637,554,17060,3855,483,969,15266,8292
21224,9886,7919,8724,23904,3443,1543,8098,28917,6320,2112,41305,9128
21229,12578,9815,9194,16058,99,1496,35900,7710,990,1450,39069,8576
21230,5660,4719,4891,19674,327,1206,9511,20830,2091,979,30051,4893
21231,1970,2052,3264,8871,782,888,4771,8496,693,527,13071,3086
